Run Number:,0,Parameters:,Baseline,Executable:,sort,Results File:,ResultsBaseline,Baseline CPU Temp:,60,Total Energy (Micro Joules):,922973631.0
Script Delta:,60.0577495098114,Script Start:,1638506417.9574454,Script End:,1638506478.015195
 
1638507800.5353281,43.0,0.87
1638507806.5413644,43.0
 
Run Number:,9,Parameters:,200000 b,Executable:,sort,Results File:,Source/sorts/200000 b_results.txt,Baseline CPU Temp:,60,Total Energy (Micro Joules):,3210565244.0
Script Delta:,141.72831320762634,Script Start:,1638507876.6146502,Script End:,1638508018.3429635
 
time,cpu,load
1638507876.6132936,31.0,0.27
1638507882.6192455,44.0,0.54
1638507888.623228,44.0,0.66
1638507894.6272213,46.0,0.76
1638507900.6312335,46.0,0.86
1638507906.6351633,47.0,0.95
1638507912.6412928,46.0,1.11
1638507918.647171,47.0,1.19
1638507924.6511567,49.0,1.25
1638507930.6571896,48.0,1.31
1638507936.659199,49.0,1.37
1638507942.6631687,49.0,1.46
1638507948.6672375,49.0,1.51
1638507954.6711621,49.0,1.55
1638507960.6752393,49.0,1.58
1638507966.6791623,51.0,1.62
1638507972.6832087,50.0,1.68
1638507978.6852276,51.0,1.7
1638507984.6911685,53.0,1.73
1638507990.6954136,52.0,1.75
1638507996.701481,54.0,1.77
1638508002.7071664,51.0,1.8
1638508008.7132142,54.0,1.82
1638508014.715181,54.0,1.84
 
